WTP,Boost,noBoost,strategy,population
0,0.5504,0.4496,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
100,0.557,0.443,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
200,0.565,0.435,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
300,0.5714,0.4286,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
400,0.5758,0.4242,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
500,0.5826,0.4174,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
600,0.59,0.41,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
700,0.5984,0.4016,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
800,0.6038,0.3962,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
900,0.609,0.391,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
1000,0.6146,0.3854,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
1100,0.622,0.378,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
1200,0.6318,0.3682,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
1300,0.6412,0.3588,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
1400,0.648,0.352,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
1500,0.6536,0.3464,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
1600,0.6596,0.3404,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
1700,0.6666,0.3334,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
1800,0.6724,0.3276,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
1900,0.6764,0.3236,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
2000,0.6808,0.3192,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
2100,0.6868,0.3132,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
2200,0.691,0.309,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
2300,0.6944,0.3056,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
2400,0.7006,0.2994,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
2500,0.7058,0.2942,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
2600,0.709,0.291,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
2700,0.713,0.287,"High-risk boosting, immune escape starts 1.5yr, boosting at 2.0yr",older
