WTP,Boost,noBoost,strategy
0,0.7344,0.2656,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
100,0.7432,0.2568,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
200,0.752,0.248,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
300,0.7584,0.2416,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
400,0.7642,0.2358,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
500,0.77,0.23,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
600,0.7786,0.2214,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
700,0.7852,0.2148,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
800,0.7894,0.2106,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
900,0.7968,0.2032,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1000,0.8038,0.1962,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1100,0.81,0.19,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1200,0.8168,0.1832,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1300,0.821,0.179,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1400,0.8272,0.1728,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1500,0.8312,0.1688,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1600,0.8362,0.1638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1700,0.84,0.16,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1800,0.8438,0.1562,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
1900,0.8492,0.1508,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2000,0.8558,0.1442,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2100,0.8594,0.1406,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2200,0.863,0.137,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2300,0.8658,0.1342,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2400,0.8694,0.1306,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2500,0.8722,0.1278,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2600,0.8762,0.1238,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2700,0.8776,0.1224,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2800,0.88,0.12,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
2900,0.8826,0.1174,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3000,0.8852,0.1148,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3100,0.8868,0.1132,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3200,0.8894,0.1106,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3300,0.8908,0.1092,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3400,0.8926,0.1074,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3500,0.8954,0.1046,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3600,0.8984,0.1016,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3700,0.9006,0.0994,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3800,0.9028,0.0972,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
3900,0.906,0.094,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4000,0.9076,0.0924,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4100,0.9094,0.0906,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4200,0.911,0.089,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4300,0.9118,0.0882,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4400,0.9134,0.0866,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4500,0.915,0.085,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4600,0.9154,0.0846,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4700,0.9154,0.0846,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4800,0.9164,0.0836,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
4900,0.919,0.081,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5000,0.92,0.08,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5100,0.9208,0.0792,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5200,0.9212,0.0788,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5300,0.9218,0.0782,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5400,0.922,0.078,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5500,0.923,0.077,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5600,0.924,0.076,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5700,0.9244,0.0756,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5800,0.9248,0.0752,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
5900,0.9256,0.0744,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6000,0.9262,0.0738,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6100,0.9272,0.0728,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6200,0.9276,0.0724,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6300,0.9278,0.0722,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6400,0.928,0.072,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6500,0.9286,0.0714,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6600,0.929,0.071,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6700,0.9296,0.0704,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6800,0.93,0.07,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
6900,0.9302,0.0698,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7000,0.9302,0.0698,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7100,0.9304,0.0696,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7200,0.9304,0.0696,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7300,0.9302,0.0698,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7400,0.9306,0.0694,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7500,0.9318,0.0682,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7600,0.9324,0.0676,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7700,0.9326,0.0674,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7800,0.9326,0.0674,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
7900,0.933,0.067,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8000,0.933,0.067,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8100,0.9332,0.0668,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8200,0.9336,0.0664,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8300,0.9338,0.0662,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8400,0.9344,0.0656,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8500,0.9348,0.0652,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8600,0.935,0.065,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8700,0.9352,0.0648,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8800,0.9354,0.0646,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
8900,0.9352,0.0648,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9000,0.9352,0.0648,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9100,0.9356,0.0644,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9200,0.936,0.064,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9300,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9400,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9500,0.937,0.063,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9600,0.937,0.063,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9700,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9800,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
9900,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10000,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10100,0.936,0.064,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10200,0.936,0.064,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10300,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10400,0.9364,0.0636,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10500,0.9364,0.0636,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10600,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10700,0.9368,0.0632,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10800,0.9368,0.0632,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
10900,0.937,0.063,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11000,0.937,0.063,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11100,0.937,0.063,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11200,0.9364,0.0636,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11300,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11400,0.9368,0.0632,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11500,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11600,0.9364,0.0636,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11700,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11800,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
11900,0.9362,0.0638,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12000,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12100,0.937,0.063,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12200,0.9372,0.0628,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12300,0.937,0.063,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12400,0.9372,0.0628,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12500,0.9372,0.0628,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12600,0.937,0.063,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12700,0.9372,0.0628,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12800,0.9374,0.0626,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
12900,0.9374,0.0626,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13000,0.9374,0.0626,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13100,0.9372,0.0628,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13200,0.937,0.063,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13300,0.9368,0.0632,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13400,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13500,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13600,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13700,0.9366,0.0634,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13800,0.9368,0.0632,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
13900,0.937,0.063,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14000,0.937,0.063,"High-risk boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
