group,popType,scenarioBoostStart,scenarioImmuneEscape,scenarioVaxCoverage,scenario,vaxCoverage,tpLevel,boostStart,immuneEscape,ageScenario,nVaxDoses,nAsymptom,nHomecare,nAdmitWard,nAdmitICU,nOccupyWard,nOccupyICU,nDeaths,costHome,costWard,costICU,costDeath,costDoses,costDisease,cost,yldAsymptom,yldHomecare,yldAdmitWard,yldAdmitICU,yll,yllU,yld,daly,dalyU,daly0,cost0,iDaly,iCost,icer
A,Older,No further boosting at Never,"No further boosting, immune escape 1.50 yr","No further boosting, coverage 80%",No further boosting,80%,low TP,Never,1.50 yr,No,0,63302.324,35271.6158,391.1024,43.8678,3495.2954,340.988,39.1382,2635318.774497,1227241.9061325,884361.75517,2524.4139,0,4749446.8496995,4749446.8496995,0,34.49853928931506,4.38034688,1.0591970449315071,567.2800748949616,782.8667340249667,39.93808321424657,607.2181581092082,822.8048172392133,607.2181581092082,4749446.8496995,0,0,NA
A,Older,No further boosting at Never,"No further boosting, immune escape 1.75 yr","No further boosting, coverage 80%",No further boosting,80%,low TP,Never,1.75 yr,No,0,45353.793000000005,26145.9734,318.197,35.1546,2896.426,269.8266,32.722,1953496.402581,1016971.373925,699802.7073315,2110.569,0,3672381.0528375003,3672381.0528375003,0,25.572910969315064,3.5638064000000007,0.8488150405479453,473.17887748048054,652.5994387977667,29.98553240986301,503.16440989034356,682.5849712076297,503.16440989034356,3672381.0528375003,0,0,NA
A,Older,No further boosting at Never,"No further boosting, immune escape 2.00 yr","No further boosting, coverage 80%",No further boosting,80%,low TP,Never,2.00 yr,No,0,40061.27,23792.3848,309.83099999999996,34.3602,2897.189,272.3118,33.5778,1777648.030332,1017239.2727625,706248.1418745001,2165.7681000000002,0,3503301.213069,3503301.213069,0,23.27090787287671,3.4701072,0.8296340893150685,485.93733447510294,670.4229092498667,27.570649162191778,513.5079836372947,697.9935584120585,513.5079836372947,3503301.213069,0,0,NA
A,Older,No further boosting at Never,"No further boosting, immune escape 2.25 yr","No further boosting, coverage 80%",No further boosting,80%,low TP,Never,2.25 yr,No,0,42479.308999999994,25062.553,326.8022,35.3918,2953.2308,281.8944,33.1716,1872548.647395,1036916.249265,731100.8784960001,2139.5681999999997,0,3642705.3433560003,3642705.3433560003,0,24.51323676986301,3.6601846400000007,0.8545422832876715,481.677081762193,666.2547533135333,29.02796369315068,510.7050454553437,695.282717006684,510.7050454553437,3642705.3433560003,0,0,NA
A,Older,No further boosting at Never,"No further boosting, immune escape 2.50 yr","No further boosting, coverage 80%",No further boosting,80%,low TP,Never,2.50 yr,No,0,48622.604999999996,28084.9544,345.1194,38.2482,2777.4692,284.0158,30.615,2098367.367996,975204.1544850001,736602.7877345001,1974.6674999999998,0,3812148.9777155,3812148.9777155,0,27.469393755616434,3.8653372800000003,0.9235106482191782,448.96600227297597,623.0174851138665,32.258241683835614,481.22424395681156,655.2757267977022,481.22424395681156,3812148.9777155,0,0,NA
A,Older,Pediatric boosting at 1.75 yr,"Pediatric boosting, immune escape 1.50 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,1.75 yr,1.50 yr,No,11000,62287.748,34864.2458,390.12239999999997,43.8568,3494.9538,339.7566,39.1942,2604882.124947,1227121.9661025,881168.0854065,2528.0259,450906.50000000006,4715700.2023559995,5166606.7023559995,0,34.10009794684931,4.36937088,1.058931447671233,567.6594632429533,783.6524036077333,39.52840027452054,607.1878635174738,823.1808038822538,607.2181581092082,4749446.8496995,0.030294591734332244,417159.8526564995,13770109.738225676
A,Older,Pediatric boosting at 2.00 yr,"Pediatric boosting, immune escape 1.50 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.00 yr,1.50 yr,No,11000,62085.225999999995,34807.6798,388.7846,43.7326,3465.8068,339.0888,38.8568,2600655.796257,1216888.0900649999,879436.127742,2506.2635999999998,450906.50000000006,4699486.277664,5150392.777664,0,34.04477174958904,4.35438752,1.055932613150685,563.0843768985582,777.4405482437999,39.45509188273973,602.5394687812978,816.8956401265395,607.2181581092082,4749446.8496995,4.67868932791032,400945.92796450015,85696.20675018785
A,Older,Pediatric boosting at 2.25 yr,"Pediatric boosting, immune escape 1.50 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.25 yr,1.50 yr,No,11000,61320.546,34497.7932,386.305,43.3528,3446.6656,334.1266,38.5716,2577502.618938,1210167.37548,866566.5255815,2487.8682,450906.50000000006,4656724.388199501,5107630.888199501,0,33.74167718465753,4.3266160000000005,1.0467622641095893,559.1485149920526,772.0861855736333,39.11505544876712,598.2635704408196,811.2012410224004,607.2181581092082,4749446.8496995,8.954587668388513,358184.0385000007,40000.05938458363
A,Older,Pediatric boosting at 2.50 yr,"Pediatric boosting, immune escape 1.50 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.50 yr,1.50 yr,No,11000,60741.843,34220.9148,384.66360000000003,42.8746,3449.2734,331.525,38.6722,2556815.649282,1211083.0066575,859819.2044375,2494.3568999999998,450906.50000000006,4630212.217277,5081118.717277,0,33.47086735232876,4.308232320000001,1.0352160268493151,559.4659629399737,771.7935050008,38.814315699178074,598.2802786391518,810.6078206999781,607.2181581092082,4749446.8496995,8.937879470056373,331671.8675774997,37108.56346728155
A,Older,Pediatric boosting at 1.75 yr,"Pediatric boosting, immune escape 1.75 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,1.75 yr,1.75 yr,No,11000,44395.935,25698.709,317.1566,35.3134,2908.099,270.8852,32.6136,1920079.042935,1021069.9101375,702548.215543,2103.5771999999997,450906.50000000006,3645800.7458155,4096707.2458155,0,25.135449624657532,3.5521539200000007,0.8526492991780823,471.3068976945543,649.6417062520666,29.540252843835617,500.84715053838994,679.1819590959021,503.16440989034356,3672381.0528375003,2.3172593519536235,424326.1929779998,183115.53802566856
A,Older,Pediatric boosting at 2.00 yr,"Pediatric boosting, immune escape 1.75 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.00 yr,1.75 yr,No,11000,44247.219000000005,25629.016,315.2216,35.0254,2887.1748,268.3062,32.5516,1914871.93044,1013723.161965,695859.5081205,2099.5782,450906.50000000006,3626554.1787254997,4077460.6787254997,0,25.067284142465752,3.5304819200000006,0.84569548,470.11244206059996,648.0815908055,29.44346154246575,499.5559036030657,677.5250523479658,503.16440989034356,3672381.0528375003,3.608506287277862,405079.6258879993,112256.87130327213
A,Older,Pediatric boosting at 2.25 yr,"Pediatric boosting, immune escape 1.75 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.25 yr,1.75 yr,No,11000,43919.473999999995,25445.5726,312.6858,34.6976,2875.4132,269.6258,32.37,1901165.956809,1009593.517185,699281.9270095001,2087.865,450906.50000000006,3612129.2660035,4063035.7660035,0,24.887861419726026,3.5020809600000002,0.8377806816438358,468.2531967254793,645.8001180936999,29.22772306136986,497.4809197868492,675.0278411550697,503.16440989034356,3672381.0528375003,5.683490103494364,390654.71316599986,68735.0036777252
A,Older,Pediatric boosting at 2.50 yr,"Pediatric boosting, immune escape 1.75 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.50 yr,1.75 yr,No,11000,43566.47499999999,25257.909799999998,311.3926,34.7286,2873.5048,271.4028,32.5412,1887144.730707,1008923.4540900001,703890.6253770001,2098.9074,450906.50000000006,3602057.7175740004,4052964.2175740004,0,24.704311776986298,3.4875971200000007,0.8385291830136987,470.0697827150391,647.8118747073,29.030438079999996,499.1002207950391,676.8423127873,503.16440989034356,3672381.0528375003,4.064189095304471,380583.1647365,93643.0751158217
A,Older,Pediatric boosting at 1.75 yr,"Pediatric boosting, immune escape 2.00 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,1.75 yr,2.00 yr,No,11000,39252.916,23393.5538,308.0346,34.2566,2874.359,271.244,33.488,1747849.372167,1009223.3743875,703478.7732100001,2159.976,450906.50000000006,3462711.4957645,3913617.9957645,0,22.880818374246573,3.4499875200000005,0.8271326460273973,485.1508596620521,669.7486947976,27.15793854027397,512.3087982023261,696.906633337874,513.5079836372947,3503301.213069,1.1991854349686264,410316.7826955002,342162.9138668075
A,Older,Pediatric boosting at 2.00 yr,"Pediatric boosting, immune escape 2.00 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.00 yr,2.00 yr,No,11000,38757.033,23148.289,306.1874,34.1296,2853.6148,270.1144,33.1676,1729524.4126350002,1001939.8264649999,700549.124546,2139.3102,450906.50000000006,3434152.673846,3885059.173846,0,22.64092924109589,3.4292988800000006,0.8240662049315071,481.08658308052344,664.4818550197333,26.8942943260274,507.98087740655086,691.3761493457607,513.5079836372947,3503301.213069,5.527106230743868,381757.96077700006,69070.13269502891
A,Older,Pediatric boosting at 2.25 yr,"Pediatric boosting, immune escape 2.00 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.25 yr,2.00 yr,No,11000,39686.679000000004,23621.2294,307.8374,34.2682,2879.965,272.0168,33.426,1764860.1546210002,1011191.7110625001,705483.051262,2155.9770000000003,450906.50000000006,3483690.8939455003,3934597.3939455003,0,23.103503824109588,3.4477788800000004,0.827412730410959,484.14484766873477,668.3612125465667,27.378695434520548,511.5235431032553,695.7399079810872,513.5079836372947,3503301.213069,1.984440534039436,431296.18087650044,217338.92927422407
A,Older,Pediatric boosting at 2.50 yr,"Pediatric boosting, immune escape 2.00 yr","Pediatric boosting, coverage 80%",Pediatric boosting,80%,low TP,2.50 yr,2.00 yr,No,11000,39945.350999999995,23732.718999999997,308.5472,34.1738,2868.872,270.5782,33.3562,1773190.1000849998,1007296.8201,701752.0026005,2151.4749,450906.50000000006,3484390.3976854994,3935296.8976854994,0,23.21254981643835,3.4557286400000002,0.8251334230136987,483.31956900683923,667.2551716196666,27.49341187945205,510.81298088629126,694.7485834991187,513.5079836372947,3503301.213069,2.6950027510034715,431995.6846164996,160295.08112956397
