result,parameter,group,scenario,vaxCoverage,tpLevel,boostStart,immuneEscape,icer
Low,Dis. weight moderate,A,No further boost,80%,low TP,Never,1.50 yr,NA
Low,Dis. weight moderate,A,No further boost,80%,low TP,Never,1.75 yr,NA
Low,Dis. weight moderate,A,No further boost,80%,low TP,Never,2.00 yr,NA
Low,Dis. weight moderate,A,No further boost,80%,low TP,Never,2.25 yr,NA
Low,Dis. weight moderate,A,No further boost,80%,low TP,Never,2.50 yr,NA
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,1.75 yr,1.50 yr,-3520174.592751441
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.00 yr,1.50 yr,88926.28479273354
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.25 yr,1.50 yr,41309.78036253118
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.50 yr,1.50 yr,38781.538966922446
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,1.75 yr,1.75 yr,196997.96498741294
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.00 yr,1.75 yr,118478.83098272237
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.25 yr,1.75 yr,71995.47591570423
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.50 yr,1.75 yr,101815.77631884046
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,1.75 yr,2.00 yr,389603.27302940446
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.00 yr,2.00 yr,72152.37290925917
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.25 yr,2.00 yr,224479.7569482591
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.50 yr,2.00 yr,161631.12767042711
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,1.75 yr,2.25 yr,853514.6233493485
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.00 yr,2.25 yr,2799852.893551819
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.25 yr,2.25 yr,115333.43463598861
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.50 yr,2.25 yr,-403891.3939274269
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,1.75 yr,2.50 yr,44154.48647565396
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.00 yr,2.50 yr,47168.974024264935
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.25 yr,2.50 yr,55285.88660983717
Low,Dis. weight moderate,A,Pediatric boost,80%,low TP,2.50 yr,2.50 yr,25634.71162435818
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,1.75 yr,1.50 yr,2376.746433744751
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.00 yr,1.50 yr,5267.604125731582
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.25 yr,1.50 yr,1575.856377999024
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.50 yr,1.50 yr,307.38555891232016
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,1.75 yr,1.75 yr,-466.62271201759626
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.00 yr,1.75 yr,8316.827996918835
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.25 yr,1.75 yr,33344.42040536556
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.50 yr,1.75 yr,151660.81411781567
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,1.75 yr,2.00 yr,-48.88976869088154
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.00 yr,2.00 yr,-1047.9159130720304
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.25 yr,2.00 yr,11316.598232826987
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.50 yr,2.00 yr,155191.84004070144
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,1.75 yr,2.25 yr,1663.0819853875591
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.00 yr,2.25 yr,-226.3615526550915
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.25 yr,2.25 yr,-1134.9831185727742
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.50 yr,2.25 yr,11379.0055261361
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,1.75 yr,2.50 yr,1562.9454392381447
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.00 yr,2.50 yr,483.7125208300764
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.25 yr,2.50 yr,134.48335904977674
Low,Dis. weight moderate,A,High-risk boost,80%,low TP,2.50 yr,2.50 yr,-356.8010726777902
Low,Dis. weight moderate,A,Random boost,80%,low TP,1.75 yr,1.50 yr,9571.605775630806
Low,Dis. weight moderate,A,Random boost,80%,low TP,2.00 yr,1.50 yr,3808.5117444151037
