population size,population type,scenario,1st year vaccination coverage,transmission potential level,boosting starts,immune escape starts,time period,total_mean_infections_all_ages,total_mean_symptomatic_infections_all_ages,total_mean_admissions_all_ages,total_mean_ward_occupancy_all_ages,total_mean_ICU_admissions_all_ages,total_mean_ICU_occupancy_all_ages,total_mean_deaths_ages_all_ages,total_mean_deaths_ages_0-9,total_mean_deaths_ages_10-19,total_mean_deaths_ages_20-29,total_mean_deaths_ages_30-39,total_mean_deaths_ages_40-49,total_mean_deaths_ages_50-59,total_mean_deaths_ages_60-69,total_mean_deaths_ages_70-79,total_mean_deaths_ages_80+
100000,older,no further boosting,80.0%,TP_low,never,1.5 (year),1.5 - 3.0 years,98608.41,35618.11,433.168,3465.63,43.358,330.63,38.162,0.018,0.004,0.098,0.278,0.778,3.962,9.964,17.856,5.204
100000,older,no further boosting,80.0%,TP_low,never,1.75 (year),1.5 - 3.0 years,68966.98,25495.02,344.788,2872.984,34.138,260.858,32.306,0.01,0.01,0.094,0.244,0.696,3.322,8.322,15.26,4.348
100000,older,no further boosting,80.0%,TP_low,never,2.0 (year),1.5 - 3.0 years,63895.95,24032.56,342.19,2841.92,34.178,269.18,32.834,0.012,0.002,0.11,0.268,0.74,3.428,8.346,15.462,4.466
100000,older,no further boosting,80.0%,TP_low,never,2.25 (year),1.5 - 3.0 years,67858.47,25417.19,361.866,2936.364,35.222,277.098,32.856,0.01,0.008,0.116,0.314,0.756,3.516,8.376,15.248,4.512
100000,older,no further boosting,80.0%,TP_low,never,2.5 (year),1.5 - 3.0 years,77346.63,28556.55,383.812,2783.228,38.524,286.432,30.616,0.014,0.004,0.14,0.286,0.69,3.428,8.23,14.118,3.706
100000,older,further boosting pediatric,80.0%,TP_low,1.75 (year),1.5 (year),1.5 - 3.0 years,97791.62,35441.19,437.08,3520.608,44.352,343.292,38.872,0.012,0.004,0.098,0.312,0.784,4.216,9.95,18.288,5.208
100000,older,further boosting pediatric,80.0%,TP_low,2.0 (year),1.5 (year),1.5 - 3.0 years,96699.05,35071.7,430.318,3431.55,43.674,329.14,38.048,0.008,0.014,0.114,0.254,0.928,3.9,9.854,17.728,5.248
100000,older,further boosting pediatric,80.0%,TP_low,2.25 (year),1.5 (year),1.5 - 3.0 years,95862.03,34825.45,428.82,3418.684,43.354,334.118,38.346,0.014,0.004,0.092,0.258,0.83,4.084,10.038,17.972,5.054
100000,older,further boosting pediatric,80.0%,TP_low,2.5 (year),1.5 (year),1.5 - 3.0 years,95495.01,34711.26,428.4,3422.952,43.162,328.676,38.46,0.008,0.01,0.124,0.32,0.894,4.062,9.878,17.956,5.208
100000,older,further boosting pediatric,80.0%,TP_low,1.75 (year),1.75 (year),1.5 - 3.0 years,67577.78,25056.7,342.718,2854.968,34.152,262.17,32.068,0.016,0.006,0.1,0.258,0.668,3.266,8.198,15.116,4.44
100000,older,further boosting pediatric,80.0%,TP_low,2.0 (year),1.75 (year),1.5 - 3.0 years,67608.7,25061.43,341.926,2827.52,34.032,265.614,32.342,0.008,0.006,0.09,0.248,0.776,3.328,8.33,15.172,4.384
100000,older,further boosting pediatric,80.0%,TP_low,2.25 (year),1.75 (year),1.5 - 3.0 years,67585.34,25056.85,340.848,2843.388,34.152,260.18,32.52,0.01,0.008,0.1,0.256,0.674,3.378,8.344,15.262,4.488
100000,older,further boosting pediatric,80.0%,TP_low,2.5 (year),1.75 (year),1.5 - 3.0 years,67430.31,25006.02,340.708,2857.066,34.156,266.774,32.098,0.01,0.006,0.122,0.282,0.692,3.45,8.176,14.956,4.404
100000,older,further boosting pediatric,80.0%,TP_low,1.75 (year),2.0 (year),1.5 - 3.0 years,63115.33,23777.37,342.596,2859.286,34.496,271.354,32.796,0.002,0.004,0.124,0.274,0.756,3.504,8.498,15.22,4.414
100000,older,further boosting pediatric,80.0%,TP_low,2.0 (year),2.0 (year),1.5 - 3.0 years,62472.47,23528.01,340.102,2843.274,33.212,264.12,32.66,0.016,0.002,0.082,0.272,0.698,3.482,8.236,15.344,4.528
100000,older,further boosting pediatric,80.0%,TP_low,2.25 (year),2.0 (year),1.5 - 3.0 years,63380.71,23866.17,342.168,2878.144,34.05,274.59,33.01,0.012,0.004,0.124,0.254,0.746,3.476,8.65,15.324,4.42
100000,older,further boosting pediatric,80.0%,TP_low,2.5 (year),2.0 (year),1.5 - 3.0 years,63988.46,24040.46,342.736,2872.85,33.546,266.184,32.906,0.014,0.002,0.116,0.264,0.762,3.424,8.564,15.484,4.276
100000,older,further boosting pediatric,80.0%,TP_low,1.75 (year),2.25 (year),1.5 - 3.0 years,66362.41,24967.58,363.016,2945.574,35.422,285.84,33.094,0.01,0.012,0.134,0.252,0.742,3.54,8.514,15.328,4.562
100000,older,further boosting pediatric,80.0%,TP_low,2.0 (year),2.25 (year),1.5 - 3.0 years,66771.97,25078.64,362.144,2921.452,35.004,280.56,32.464,0.006,0.004,0.106,0.286,0.788,3.542,8.38,15.132,4.22
100000,older,further boosting pediatric,80.0%,TP_low,2.25 (year),2.25 (year),1.5 - 3.0 years,66571.63,25013.41,362.98,2930.338,35.684,280.884,33.212,0.014,0.004,0.138,0.314,0.782,3.43,8.632,15.476,4.422
100000,older,further boosting pediatric,80.0%,TP_low,2.5 (year),2.25 (year),1.5 - 3.0 years,67306.22,25247.12,361.644,2943.502,35.64,280.404,32.846,0.004,0.008,0.112,0.284,0.812,3.542,8.516,15.098,4.47
100000,older,further boosting pediatric,80.0%,TP_low,1.75 (year),2.5 (year),1.5 - 3.0 years,75265.23,27893.78,381.486,2759.236,38.002,282.948,29.684,0.012,0.004,0.092,0.302,0.726,3.39,8.054,13.35,3.754
