population size,population type,scenario,1st year vaccination coverage,transmission potential level,boosting starts,immune escape starts,time period,total_mean_infections_all_ages,total_mean_symptomatic_infections_all_ages,total_mean_admissions_all_ages,total_mean_ward_occupancy_all_ages,total_mean_ICU_admissions_all_ages,total_mean_ICU_occupancy_all_ages,total_mean_deaths_ages_all_ages,total_mean_deaths_ages_0-9,total_mean_deaths_ages_10-19,total_mean_deaths_ages_20-29,total_mean_deaths_ages_30-39,total_mean_deaths_ages_40-49,total_mean_deaths_ages_50-59,total_mean_deaths_ages_60-69,total_mean_deaths_ages_70-79,total_mean_deaths_ages_80+
100000,older,no further boosting,80.0%,TP_low,never,1.5 (year),1.5 - 3.0 years,99008.91,35706.586,434.9702,3495.2954,43.8678,340.988,39.1382,0.0166,0.006,0.112,0.295,0.8426,4.1418,10.2142,18.3392,5.1708
100000,older,no further boosting,80.0%,TP_low,never,1.75 (year),1.5 - 3.0 years,71853.118,26499.325,353.3516,2896.426,35.1546,269.8266,32.722,0.0106,0.0058,0.0956,0.2454,0.717,3.4078,8.4852,15.328,4.4266
100000,older,no further boosting,80.0%,TP_low,never,2.0 (year),1.5 - 3.0 years,64197.846,24136.576,344.1912,2897.189,34.3602,272.3118,33.5778,0.0118,0.0058,0.0988,0.2512,0.7302,3.551,8.6714,15.7438,4.5138
100000,older,no further boosting,80.0%,TP_low,never,2.25 (year),1.5 - 3.0 years,67904.056,25424.747,362.194,2953.2308,35.3918,281.8944,33.1716,0.0104,0.0052,0.1118,0.2808,0.7786,3.5502,8.5602,15.417,4.4574
100000,older,no further boosting,80.0%,TP_low,never,2.5 (year),1.5 - 3.0 years,77090.927,28468.322,383.3676,2777.4692,38.2482,284.0158,30.615,0.0082,0.0056,0.1098,0.2658,0.7342,3.4864,8.0474,14.1774,3.7802
100000,older,further boosting pediatric,80.0%,TP_low,1.75 (year),1.5 (year),1.5 - 3.0 years,97585.973,35298.225,433.9792,3494.9538,43.8568,339.7566,39.1942,0.014,0.006,0.1192,0.3172,0.8472,4.1754,10.047,18.4408,5.2274
100000,older,further boosting pediatric,80.0%,TP_low,2.0 (year),1.5 (year),1.5 - 3.0 years,97325.423,35240.197,432.5172,3465.8068,43.7326,339.0888,38.8568,0.0162,0.0092,0.1158,0.296,0.8394,4.1526,10.0702,18.1562,5.2012
100000,older,further boosting pediatric,80.0%,TP_low,2.25 (year),1.5 (year),1.5 - 3.0 years,96247.997,34927.451,429.6578,3446.6656,43.3528,334.1266,38.5716,0.0176,0.0068,0.1212,0.2928,0.8294,4.1228,9.9862,18.0744,5.1204
100000,older,further boosting pediatric,80.0%,TP_low,2.5 (year),1.5 (year),1.5 - 3.0 years,95390.296,34648.453,427.5382,3449.2734,42.8746,331.525,38.6722,0.0162,0.0064,0.1184,0.291,0.8266,4.0556,10.004,18.163,5.191
100000,older,further boosting pediatric,80.0%,TP_low,1.75 (year),1.75 (year),1.5 - 3.0 years,70447.114,26051.179,352.47,2908.099,35.3134,270.8852,32.6136,0.0106,0.0038,0.0938,0.2362,0.7008,3.4166,8.4082,15.3472,4.3964
