ageGroup,fiji,samoa,tonga,mongolia,cambodia,lao,philippines,vanuatu,kiribati,micronesia,png,solomonIslands,australia,japan,korea,hongKong,westernPacific,lic,lowerMiddle,upperMiddle,hic
less01,68.010344,70.450687,72.570659,68.097683,70.122892,68.513302,70.426325,65.306397,59.419019,63.027146,65.304732,65.248833,83.040641,84.261374,83.304702,85.73,77.66329,65.077449,69.39185266,76.31361229,80.86675977
01_04,68.54568,70.174519,72.63648,68.054372,70.803097,70.038682,71.108461,65.753297,60.949518,63.605589,66.730039,65.373017,82.281155,83.419784,82.558308,83.4075,77.393003,67.274987,70.95344074,76.11045481,80.20936325
05_09,64.831198,66.303666,68.810202,64.200355,67.07369,66.694722,67.512117,62.032443,57.652234,59.921126,63.342034,61.559003,78.324145,79.473706,78.595332,78.952,73.53743,64.62241,67.79347635,72.24577322,76.2680578
10_14,59.958805,61.41941,63.913648,59.300438,62.264484,61.919205,62.645455,57.210026,52.95699,55.114364,58.641471,56.695799,73.352056,74.501093,73.624141,73.974,68.614123,60.177814,63.08960867,67.32572418,71.30417684
15_19,55.118398,56.520162,58.96433,54.403241,57.370564,57.193607,57.764732,52.345683,48.153481,50.257633,53.842684,51.80701,68.38183,69.529381,68.652597,69.02,63.688015,55.545113,58.29642863,62.41026042,66.34445229
20_24,50.360603,51.751786,54.153111,49.591868,52.628314,52.452081,52.959869,47.658995,43.548464,45.558414,49.168126,47.107121,63.477437,64.592584,63.730351,64.09,58.817965,50.884851,53.54655373,57.59538703,61.45015837
25_29,45.673809,47.128951,49.413947,44.914412,47.951432,47.789125,48.222176,43.16361,39.179792,41.110649,44.597397,42.619368,58.597062,59.692256,58.834132,59.17,53.997405,46.31098,48.87299015,52.84638628,56.61691819
30_34,40.998906,42.552137,44.684543,40.323057,43.267391,43.130117,43.532228,38.732934,34.903069,36.760277,40.087348,38.216851,53.719064,54.78774,53.950737,54.26,49.17686,41.784825,44.21950934,48.0992448,51.80759831
35_39,36.347223,38.030125,40.009832,35.835841,38.617434,38.511222,38.936062,34.395814,30.731442,32.521321,35.68132,33.907841,48.868255,49.899096,49.088776,49.36,44.392975,37.334333,39.6195646,43.38919065,47.02482334
40_44,31.815316,33.598793,35.41652,31.477803,34.060108,33.967657,34.368123,30.199635,26.74526,28.435939,31.426606,29.730438,44.063176,45.033615,44.277393,44.51,39.668973,32.991981,35.0991936,38.75476897,42.27357838
45_49,27.44327,29.320415,30.980284,27.316348,29.6479,29.566194,29.975566,26.204669,23.029877,24.594662,27.369193,25.771028,39.315284,40.214304,39.498914,39.73,35.031953,28.806426,30.68524743,34.19225311,37.57171949
50_54,23.345639,25.247288,26.731836,23.402626,25.426773,25.32994,25.704819,22.435933,19.615693,21.006226,23.494773,22.067682,34.640084,35.482409,34.82876,35.06,30.460206,24.769283,26.41076269,29.68357845,32.96990084
55_59,19.609114,21.414722,22.72261,19.789436,21.454603,21.351219,21.659724,18.918204,16.485748,17.689991,19.856611,18.627055,30.060861,30.862985,30.247683,30.52,26.04248,20.958477,22.38387216,25.31863763,28.51600206
60_64,16.176778,17.85573,19.029194,16.410364,17.736932,17.648378,17.772507,15.67681,13.693456,14.697831,16.476747,15.473929,25.615156,26.348081,25.796934,26.11,21.803836,17.3895,18.60309161,21.15575578,24.27639851
65_69,13.188618,14.600632,15.584793,13.395983,14.317565,14.324909,14.245519,12.758151,11.171875,11.984059,13.441367,12.60549,21.303895,22.001789,21.426041,21.86,17.801055,14.158399,15.12998966,17.24356179,20.23776463
70_74,10.432043,11.614759,12.479787,10.798701,11.259055,11.320084,11.186199,10.099647,8.848247,9.50471,10.684295,9.966863,17.155666,17.953759,17.1995,17.84,14.080773,11.243723,12.0027545,13.59268719,16.38804988
75_79,8.068172,8.967351,9.722269,8.343062,8.628678,8.720837,8.129449,7.752035,6.826561,7.311861,8.319741,7.631296,13.268136,13.973436,13.228851,14.23,10.741349,8.730419,9.240700652,10.35438646,12.76590105
80_84,5.884966,6.680092,7.308222,6.015525,6.403288,6.503648,5.160312,5.720932,5.086267,5.407354,6.268689,5.602701,9.734047,10.370759,9.833926,11.22,7.79474,6.567431,6.826053156,7.520595686,9.446340378
85plus,4.030196,4.756382,5.266503,3.942625,4.583588,4.743354,2.197955,4.083169,3.70636,3.890342,4.612155,3.958112,6.676713,7.293409,7.009255,6.59,5.408792,4.811557,4.955647689,5.206527399,6.589843792
