population size,population type,scenario,1st year vaccination coverage,transmission potential level,boosting starts,immune escape starts,time period,iteration,total_infections_all_ages,total_symptomatic_infections_all_ages,total_admissions_all_ages,total_ward_occupancy_all_ages,total_ICU_admissions_all_ages,total_ICU_occupancy_all_ages,total_deaths_all_ages,total_deaths_ages_0-9,total_deaths_ages_10-19,total_deaths_ages_20-29,total_deaths_ages_30-39,total_deaths_ages_40-49,total_deaths_ages_50-59,total_deaths_ages_60-69,total_deaths_ages_70-79,total_deaths_ages_80+
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,1,147368,45778,324,2464,35,327,39,0,0,0,0,0,5,8,18,8
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,2,147368,45778,313,2522,30,224,29,0,0,0,0,0,4,5,16,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,3,147368,45778,330,2592,25,133,27,0,0,0,0,1,7,6,8,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,4,147368,45778,313,2456,28,155,33,0,0,0,0,2,3,14,11,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,5,147368,45778,316,2685,26,131,26,0,0,0,1,0,2,7,9,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,6,158206,48852,326,2980,37,434,39,0,1,1,1,0,4,12,14,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,7,158206,48852,329,2537,32,189,29,0,0,0,0,0,2,9,14,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,8,158206,48852,314,2053,22,126,23,0,0,0,0,0,2,9,5,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,9,158206,48852,326,2607,37,370,32,0,0,0,0,0,2,11,13,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,10,158206,48852,318,2078,31,166,24,0,0,0,0,0,6,2,13,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,11,153981,47463,308,2454,30,139,24,0,0,0,0,0,1,5,13,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,12,153981,47463,330,4210,31,190,39,0,0,0,0,1,7,7,18,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,13,153981,47463,336,3616,29,203,31,0,0,0,1,1,1,9,13,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,14,153981,47463,329,3041,41,349,43,1,0,0,0,0,5,13,15,9
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,15,153981,47463,325,2468,30,160,24,0,0,0,0,0,2,7,10,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,16,152369,47013,335,3746,38,291,34,0,0,0,0,0,6,13,9,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,17,152369,47013,292,2584,29,296,35,0,0,0,0,1,2,7,17,8
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,18,152369,47013,317,3439,33,275,39,0,0,0,0,1,5,11,17,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,19,152369,47013,345,2331,24,129,30,0,0,0,0,0,2,11,12,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,20,152369,47013,336,2443,40,212,33,0,0,0,0,1,1,7,17,7
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,21,157619,48639,331,3466,24,235,33,0,0,1,0,0,2,10,14,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,22,157619,48639,319,3032,35,190,26,0,0,1,0,1,2,9,10,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,23,157619,48639,311,3392,37,221,24,0,0,0,0,1,3,9,7,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,24,157619,48639,345,2590,38,218,36,0,0,0,0,1,1,10,16,8
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,25,157619,48639,324,2803,25,199,29,0,0,0,0,0,3,6,16,4
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,26,142409,44032,317,2466,30,386,29,0,0,0,0,1,3,7,16,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,27,142409,44032,300,2209,34,286,32,0,0,0,0,0,6,8,12,6
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,28,142409,44032,329,3501,25,245,38,0,0,0,0,0,5,7,24,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,29,142409,44032,309,2490,34,272,34,0,0,0,0,0,8,11,12,3
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,30,142409,44032,302,2860,32,201,37,0,0,0,0,0,4,9,15,9
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,31,146037,44917,317,2586,28,604,40,0,0,0,1,1,3,13,17,5
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,32,146037,44917,287,2611,31,478,29,0,0,0,1,1,3,7,15,2
100000,older,high risk boosting,80.0%,TP_high,1.75 (year),1.5 (year),1.5 - 3.0 years,33,146037,44917,296,3281,27,288,31,0,0,0,0,0,2,7,18,4
